period	AA	TT	CC	GG	SS	WW	RR	YY	sample	condition
10.200000	0.001430	0.001621	0.001444	0.001253	0.007085	0.004997	0.024994	0.022050	15	apoptotic
10.300000	0.005815	0.004365	0.006357	0.001639	0.006634	0.008222	0.014816	0.019714	15	apoptotic
10.400000	0.011993	0.010733	0.008393	0.002457	0.007440	0.009987	0.003704	0.012016	15	apoptotic
10.500000	0.015881	0.015619	0.009138	0.006591	0.007221	0.010673	0.004425	0.001654	15	apoptotic
10.600000	0.016208	0.016143	0.011150	0.011224	0.007284	0.012330	0.007418	0.008034	15	apoptotic
10.700000	0.012936	0.011576	0.012886	0.013174	0.007195	0.015249	0.006475	0.012324	15	apoptotic
10.800000	0.008549	0.003523	0.011784	0.011004	0.005630	0.017189	0.005911	0.010243	15	apoptotic
10.900000	0.009028	0.005724	0.007530	0.005244	0.005281	0.016104	0.008098	0.003209	15	apoptotic
9.500000	0.013922	0.013761	0.012159	0.012586	0.008600	0.001232	0.012870	0.012693	16	apoptotic
9.600000	0.013000	0.012145	0.005188	0.010906	0.005535	0.004526	0.004467	0.007749	16	apoptotic
9.700000	0.006545	0.003163	0.005248	0.005106	0.005458	0.006880	0.006479	0.013655	16	apoptotic
9.800000	0.010120	0.009381	0.012125	0.010585	0.002079	0.005125	0.013594	0.015555	16	apoptotic
9.900000	0.015365	0.016120	0.012829	0.016273	0.002690	0.004114	0.013563	0.012762	16	apoptotic
10.000000	0.014513	0.015283	0.007826	0.015236	0.006620	0.008946	0.007939	0.011381	16	apoptotic
10.100000	0.008614	0.008290	0.002730	0.009020	0.009647	0.011635	0.004735	0.011173	16	apoptotic
10.200000	0.002100	0.002435	0.007034	0.006750	0.011614	0.010161	0.008119	0.007819	16	apoptotic
10.300000	0.003717	0.008164	0.008765	0.010471	0.011197	0.006227	0.007946	0.003047	16	apoptotic
10.400000	0.004324	0.010943	0.006431	0.010456	0.007829	0.005459	0.003954	0.005841	16	apoptotic
10.500000	0.005003	0.010740	0.002012	0.006066	0.003545	0.008013	0.002810	0.007272	16	apoptotic
10.600000	0.010438	0.009667	0.002164	0.001555	0.004744	0.008815	0.005944	0.004232	16	apoptotic
10.700000	0.016387	0.009330	0.004097	0.004703	0.006807	0.007460	0.007417	0.005241	16	apoptotic
10.800000	0.019692	0.010249	0.004267	0.005107	0.006140	0.005121	0.010151	0.012068	16	apoptotic
10.900000	0.018967	0.012099	0.004706	0.002867	0.005138	0.002303	0.014946	0.016373	16	apoptotic
9.500000	0.015875	0.016212	0.009412	0.009614	0.013280	0.013507	0.012224	0.008689	17	apoptotic
9.600000	0.011835	0.011687	0.006970	0.008020	0.015427	0.010383	0.016107	0.012880	17	apoptotic
9.700000	0.003754	0.006145	0.005695	0.003372	0.011195	0.004830	0.015006	0.013826	17	apoptotic
9.800000	0.006010	0.007404	0.007958	0.006002	0.003224	0.008027	0.008216	0.011394	17	apoptotic
9.900000	0.011415	0.010734	0.007935	0.013018	0.006317	0.012128	0.000747	0.008739	17	apoptotic
